1, "Mercury", 35.98, 88
2, "Venus", 67.24, 225
3, "Earth", 92.96, 365.24
4, "Mars", 141.6, 693.96
5, "Jupiter", 462.31, 4346.36
6, "Saturn", 918.35, 10774.58
7, "Uranus", 1.8313, 30680.16
8, "Neptune", 2.7803, 60191.55
